"Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks","Inclusion","Potential Decks"
"R,G","7","Klauth, Unrivaled Ancient","mythic","Creature","19.99","19.99","20.49","16.62","9.84","0.6648936170212766","57632","57632","1788871"
"G","3","Roiling Regrowth","uncommon","Instant","0.99","0.33","0.72","0.22","0.03","0.2005208333333333","121456","121456","3772297"
"U,B,R","5","Nicol Bolas, Dragon-God","mythic","Planeswalker","4.99","2.47","4.39","2.71","0.02","1.013157894736842","31321","31321","972915"
"W","2","Tataru Taru","rare","Creature","10.99","7.96","11.71","6.77","2.53","0.42857142857142844","70978","70978","2206216"
"G,U,R","6","Dragonback Assault","mythic","Enchantment","2.49","1.81","2.19","1.66","0.02","0.42045454545454547","19062","19062","593296"
"U","2","Spellskite","rare","Creature","9.99","7.55","8.78","5.54","0.02","0.7492711370262387","129062","129062","4028755"
"G,U","3","Risen Reef","uncommon","Creature","0.35","0.26","0.36","0.31","0.03","0.3457943925233644","58350","58350","1824186"
"G,W","2","Samwise Gamgee","rare","Creature","1.99","0.86","1.82","1.15","0.02","0.23121387283236985","55493","55493","1735178"
"W,U,B,R,G","5","Kenrith, the Returned King","mythic","Creature","1.49","1.04","1.46","0.96","0.02","1.0920000000000005","17223","17223","539948"
"U","4","Urza, Lord High Artificer","mythic","Creature","17.99","13.71","16.83","8.24","0.23","2.3114543114543133","128500","128500","4028755"
"U","4","Archaeomancer","common","Creature","0.39","0.29","0.36","0.29","0.03","0.30791788856304975","128441","128441","4028755"
"U,B","5","The Scarab God","mythic","Creature","6.49","4.69","7.31","4.85","0.02","0.755952380952381","64845","64845","2034408"
"R,W,B","4","Shanid, Sleepers' Scourge","mythic","Creature","2.49","2.43","2.56","1.66","2.82","0.22388059701492544","29541","29541","927141"
"U","5","Archmage of Runes","rare","Creature","5.99","3.75","5.12","2.79","0.02","0.30927835051546404","104524","104524","3283976"
"R","3","Xorn","rare","Creature","11.99","7.78","13.17","6.57","0.02","0.4523160762942778","129381","129381","4068867"
"U","2","The Reality Chip","rare","Creature","6.99","3.66","7.31","2.31","0.02","0.2877492877492882","128026","128026","4028755"
"G,U","4","Inga and Esika","rare","Creature","2.79","1.46","2.56","0.49","0.02","0.25257731958762897","57931","57931","1824186"
"R,W","2","Fighter Class","rare","Enchantment","11.99","8.62","12.44","6.84","0.02","0.2601156069364164","60218","60218","1898441"
"R,G","2","Spider Manifestation","common","Creature","0.39","0.25","0.36","0.13","0.03","0.22115384615384615","23273","23273","734135"
"B,G,U","3","Sultai Charm","uncommon","Instant","0.35","0.25","0.36","0.13","0.02","0.06521739130434782","29052","29052","917804"
"G","4","Force of Vigor","rare","Instant","9.99","7.21","9.51","7.15","7.68","0.6379647749510758","119362","119362","3772297"
"U,R,W","4","Aragorn, King of Gondor","mythic","Creature","0.99","0.61","0.72","1.01","3.51","0.6263736263736265","28941","28941","915471"
"B","4","Enduring Tenacity","rare","Creature","7.99","5.79","7.31","3.49","0.02","0.6839916839916836","120976","120976","3827431"
"B","4","Beseech the Mirror","mythic","Sorcery","27.99","20.4","22.69","12.42","4.72","0.747514910536779","131021","131021","4146014"
"U,R","2","Balmor, Battlemage Captain","uncommon","Creature","0.35","0.22","0.36","0.04","0.03","0.25000000000000033","60320","60320","1909177"
"W","2","Marble Diamond","common","Artifact","0.39","0.25","0.36","0.1","0.04","0.47058823529411764","119931","119931","3798857"
"W","2","Disenchant","common","Instant","0.35","0.2","0.11","0.06","0.01","0.10303030303030307","119920","119920","3798857"
"B","1","Phyrexian Reclamation","uncommon","Enchantment","3.49","2.5","2.92","1.99","0.32","0.3652173913043476","130765","130765","4146014"
"U","4","Irenicus's Vile Duplication","uncommon","Sorcery","13.99","8","13.17","9.88","13.83","0.39886039886039887","127026","127026","4028755"
"W","7","Approach of the Second Sun","rare","Sorcery","5.99","4.59","5.12","1.94","0.02","1.1726519337016572","119754","119754","3798857"
"U","4","Mechanized Production","mythic","Enchantment","1.79","1.14","1.46","0.66","0.02","0.6819484240687682","126893","126893","4028755"
"G","8","Ghalta, Stampede Tyrant","mythic","Creature","27.99","21.38","29.28","13.67","1.5","0.8753709198813057","118793","118793","3772297"
"R,G","5","Regisaur Alpha","rare","Creature","0.49","0.58","0.55","0.81","0.02","0.21105527638190955","56263","56263","1788871"
"R,W","5","Taunt from the Rampart","rare","Sorcery","9.99","8.84","10.24","7.17","1.18","0.5513513513513513","59708","59708","1898441"
"W","3","Heliod, Sun-Crowned","mythic","Creature","27.99","22.59","25.62","13.15","0.34","0.8976608187134502","119244","119244","3798857"
"U,R","3","Saheeli, Sublime Artificer","uncommon","Planeswalker","0.35","0.29","0.36","0.15","0.03","0.20588235294117646","59718","59718","1909177"
"U","3","Spellseeker","mythic","Creature","21.99","16.38","21.22","13.2","11.71","0.729411764705882","126001","126001","4028755"
"B","6","Noxious Gearhulk","mythic","Creature","0.99","0.47","1.09","0.45","0.02","0.20699708454810495","129439","129439","4146014"
"G,W","2","Sundering Growth","common","Instant","0.35","0.25","0.36","0.15","0.02","0.206896551724138","54142","54142","1735178"
"U","2","Pull from Tomorrow","rare","Instant","0.49","0.25","0.36","0.11","0.02","0.16384180790960454","125591","125591","4028755"
"U","1","Spell Pierce","uncommon","Instant","0.59","0.28","0.55","0.19","0.03","0.3701657458563536","125584","125584","4028755"
"B","3","Necromancy","uncommon","Enchantment","13.99","12.86","14.63","7.61","7.61","0.4235294117647059","128925","128925","4146014"
"B","1","Unearth","common","Sorcery","0.79","0.5","0.72","0.41","0.03","0.1627906976744186","128920","128920","4146014"
"W","7","Angel of the Ruins","rare","Creature","0.39","0.2","0.36","0.09","0.02","0.28374655647382924","117933","117933","3798857"
"G,U","2","Doc Aurlock, Grizzled Genius","uncommon","Creature","1.29","0.75","1.46","0.31","0.03","0.1747572815533981","55715","55715","1795411"
"W","1","Ethereal Armor","uncommon","Enchantment","0.59","0.31","0.55","0.31","0.03","0.29325513196480935","117836","117836","3798857"
"G","10","Apex Devastator","mythic","Creature","4.49","3.22","5.12","3.71","2.44","0.8017751479289941","116949","116949","3772297"
"G","2","Ram Through","common","Instant","1.29","0.4","1.09","0.25","0.03","0.1844380403458213","116829","116829","3772297"
"W,U","5","The Council of Four","rare","Creature","1.79","0.5","0.72","0.51","12.14","0.49238578680203043","57603","57603","1860951"
"U","2","Pollywog Prodigy","rare","Creature","9.99","7.5","8.78","8.05","8","0.46987951807228917","112881","112881","3647248"
"W","2","Wall of Omens","uncommon","Creature","0.35","0.25","0.36","0.17","0.03","0.06626506024096383","117473","117473","3798857"
"U","4","Rewind","uncommon","Instant","0.69","0.47","0.72","0.25","0.02","0.5571030640668522","124379","124379","4028755"
"W","3","Haliya, Guided by Light","rare","Creature","4.99","2.76","4.39","2.16","0.11","0.24210526315789474","57771","57771","1871539"
"G,W,U","3","Bant Charm","uncommon","Instant","0.39","0.27","0.55","0.15","0.02","0.391891891891892","28753","28753","932626"
"U","4","Rite of Replication","rare","Sorcery","0.59","0.35","0.55","0.31","0.02","0.5281899109792284","124040","124040","4028755"
"U,R,W","4","Cayth, Famed Mechanist","mythic","Creature","0.99","0.5","1.09","0.57","0.02","0.23636363636363636","26896","26896","873653"
"W,B","3","Breena, the Demagogue","mythic","Creature","5.99","9.65","6.58","4.02","7.44","0.44919786096256686","57011","57011","1853973"
"B","2","Bitter Triumph","uncommon","Instant","2.49","1.37","2.56","1.18","0.03","0.15531335149863773","127440","127440","4146014"
"B","1","Defile","common","Instant","1.79","1.15","1.82","0.7","0.4","0.2642642642642643","127358","127358","4146014"
"G","2","Devoted Druid","uncommon","Creature","0.59","0.36","0.72","0.32","0.03","0.6558265582655822","115860","115860","3772297"
"","4","Helm of the Host","rare","Artifact","11.99","9.08","10.24","5.72","0.02","0.9698189134808853","250058","250058","8148845"
"B","3","Midnight Reaper","rare","Creature","0.49","0.3","0.55","0.21","0.02","0.1747851002865329","127191","127191","4146014"
"W","3","Cut a Deal","uncommon","Sorcery","0.69","0.28","0.72","0.2","4.06","0.20114942528735633","116499","116499","3798857"
"U","1","Essence Flux","common","Instant","2.29","0.89","2.19","0.68","0.03","0.13043478260869562","123433","123433","4028755"
"G","3","Augur of Autumn","rare","Creature","0.59","0.36","0.55","0.46","0.02","0.23006134969325157","115530","115530","3772297"
"W,U,B,R,G","5","Door to Nothingness","rare","Artifact","0.59","0.45","0.55","0.24","0.02","0.8823529411764706","16531","16531","539948"
"U,B","3","Mnemonic Betrayal","mythic","Sorcery","12.99","9.66","13.17","5.21","0.02","0.5977653631284916","62186","62186","2034408"
"G,U","5","Murkfiend Liege","rare","Creature","3.99","2.07","3.65","0.82","0.02","0.35858585858585873","55751","55751","1824186"
"R,G","1","Tinder Wall","common","Creature","1.49","1.34","1.46","1.07","0.05","0.25698324022346386","54648","54648","1788871"
"G","5","Titania, Protector of Argoth","mythic","Creature","0.99","0.48","1.09","0.43","0.02","0.3371104815864023","115208","115208","3772297"
"B","5","Dictate of Erebos","rare","Enchantment","20.99","17.79","16.83","12.08","0.02","1.8779840848806366","126404","126404","4146014"
"B","4","Ravenous Chupacabra","uncommon","Creature","0.69","0.47","0.72","0.26","0.03","0.2692307692307691","126376","126376","4146014"
"U,B","3","Diregraf Captain","uncommon","Creature","0.49","0.36","0.55","0.32","0.03","0.12682926829268298","61954","61954","2034408"
"G","4","Arasta of the Endless Web","rare","Creature","0.49","0.3","0.55","0.26","0.02","0.25454545454545435","114855","114855","3772297"
"G","3","Horizon Explorer","rare","Creature","4.49","2.99","4.39","3.36","5.85","0.40789473684210525","55583","55583","1827270"
"G","7","Zopandrel, Hunger Dominus","mythic","Creature","16.99","10.59","16.83","9.21","0.02","0.7400000000000002","114693","114693","3772297"
"G,W","2","Aura Mutation","rare","Instant","3.49","1.77","3.65","1.63","4.2","0.2139037433155081","52722","52722","1735178"
"W","3","Grasp of Fate","rare","Enchantment","0.69","0.4","0.72","0.18","0.02","0.3048433048433049","115275","115275","3798857"
"B","3","Agadeem's Awakening","mythic","Sorcery","37.99","21.81","36.6","22.06","3.21","0.4307692307692307","125720","125720","4146014"
"R","2","Pyretic Ritual","common","Instant","11.99","9.28","10.24","4.66","0.03","0.32446808510638314","123365","123365","4068867"
"R","4","Torbran, Thane of Red Fell","rare","Creature","6.49","5.43","6.58","1.74","0.02","0.5764705882352945","123336","123336","4068867"
"R,G","5","Thrakkus the Butcher","uncommon","Creature","0.69","0.26","0.72","0.2","undefined","0.3076923076923072","54218","54218","1788871"
"U","6","Kappa Cannoneer","rare","Creature","0.69","0.48","0.55","0.53","0.27","0.6358381502890179","122077","122077","4028755"
"W","3","Aven Mindcensor","uncommon","Creature","0.99","0.7","0.72","0.31","0.02","1.1167582417582433","115100","115100","3798857"
"B","3","Dismember","uncommon","Instant","6.99","5.75","5.12","3.43","7.61","0.35347432024169173","125427","125427","4146014"
"R","3","Weftstalker Ardent","uncommon","Creature","2.99","1.92","2.92","0.82","0.03","0.22857142857142856","60955","60955","2014898"
"W","5","Promise of Loyalty","rare","Sorcery","0.79","0.31","0.72","0.26","1.44","0.4410112359550562","114756","114756","3798857"
"U","7","Nezahal, Primal Tide","rare","Creature","15.99","9.66","13.9","8.6","0.02","0.8022284122562677","121649","121649","4028755"
"W,B","7","Primevals' Glorious Rebirth","rare","Sorcery","1.99","1.4","2.19","0.78","0.02","0.32978723404255317","55885","55885","1853973"
"G","3","Courser of Kruphix","rare","Creature","2.29","2.2","2.19","1.16","0.03","0.23235294117647068","113562","113562","3772297"
"B,R","4","Spiteful Visions","rare","Enchantment","1.49","0.97","1.46","0.64","0.02","0.50531914893617","57231","57231","1902006"
"R","3","Seize the Spoils","common","Sorcery","0.99","0.4","0.72","0.31","0.03","0.0956521739130435","122145","122145","4068867"
"U,R","6","Brudiclad, Telchor Engineer","rare","Creature","0.79","0.42","0.72","0.31","0.02","0.36263736263736274","57249","57249","1909177"
"W,U","2","Inquisitive Glimmer","uncommon","Creature","0.35","0.3","0.36","0.2","0.03","0.07575757575757576","48572","48572","1620114"
"U,R","6","Niv-Mizzet, the Firemind","rare","Creature","0.99","0.97","0.72","0.64","0.02","0.6414141414141408","57158","57158","1909177"
"U,R","6","Niv-Mizzet, Visionary","mythic","Creature","12.99","9.77","11.71","5.34","0.02","0.8873239436619719","46588","46588","1556652"
"R","6","Combustible Gearhulk","mythic","Creature","0.99","0.32","0.72","0.24","0.02","0.2916666666666668","121764","121764","4068867"
"W,U,B,R,G","5","Sliver Overlord","rare","Creature","32.99","31.19","32.94","19.44","0.02","1.270000000000001","16154","16154","539948"
"W","1","Steelshaper's Gift","rare","Sorcery","12.99","9.32","12.44","3.31","1.97","0.5097493036211704","113644","113644","3798857"
"R","3","Combat Celebrant","mythic","Creature","1.49","0.75","1.46","0.91","0.02","0.5322128851540614","121713","121713","4068867"
"U,R","2","Abandon Attachments","common","Instant","0.35","0.29","0.36","0.26","0.03","0","25097","25097","839354"
"G","5","Kalonian Hydra","mythic","Creature","6.49","4.45","6.58","3.98","0.02","0.44505494505494503","112734","112734","3772297"
"B","2","Umbral Collar Zealot","uncommon","Creature","1.99","1.05","1.82","0.55","0.03","0.23529411764705893","60342","60342","2021280"
"U","5","Inexorable Tide","rare","Enchantment","2.29","1.25","1.82","1.01","0.02","0.6620111731843572","120251","120251","4028755"
"","3","Burnished Hart","uncommon","Creature","0.35","0.2","0.21","0.06","0.03","0.08755760368663598","243022","243022","8148845"
"B,G","2","Hollowmurk Siege","rare","Enchantment","1.99","1","1.46","0.38","0.02","0.2647058823529413","34066","34066","1143931"
"R,G,W","4","Shalai and Hallar","mythic","Creature","4.99","6.03","5.12","2.83","4","0.3551401869158877","28649","28649","962220"
"U,B","2","Lim-Dûl's Vault","uncommon","Instant","5.99","4.09","6.58","3.63","0.52","0.7022471910112357","60470","60470","2034408"
"B,R","4","Black Waltz No. 3","uncommon","Creature","0.35","0.29","0.36","0.15","0.03","0.3473684210526316","32418","32418","1090747"
"G","3","Circle of Dreams Druid","rare","Creature","13.99","11.38","13.17","6.84","0.02","0.6128133704735372","112110","112110","3772297"
"G","1","Carpet of Flowers","uncommon","Enchantment","3.49","2.06","3.65","1.92","8.91","0.6033994334277619","112052","112052","3772297"
"G","3","Formidable Speaker","rare","Creature","17.99","15","21.22","15.39","18.88","0","40378","40378","1360010"
"","3","Bender's Waterskin","common","Artifact","0.79","0.55","1.09","0.4","0.03","0","104218","104218","3511923"
"","2","Sapphire Medallion","rare","Artifact","8.49","5.5","8.05","3.5","0.02","0.300275482093664","241747","241747","8148845"
"G","3","Topiary Stomper","rare","Creature","1.29","0.57","1.46","0.84","0.02","0.1767810026385226","111852","111852","3772297"
"U","4","Jace, Wielder of Mysteries","rare","Planeswalker","8.99","4.9","8.05","3.56","0.02","0.9625779625779626","119410","119410","4028755"
"U","10","Omniscience","mythic","Enchantment","7.99","6.93","7.31","5.03","0.03","1.715415019762846","119364","119364","4028755"
"G","4","Migration Path","uncommon","Sorcery","0.69","0.36","0.72","0.22","0.02","0.15053763440860224","111742","111742","3772297"
"","5","Gilded Lotus","rare","Artifact","2.29","1","2.19","0.82","0.02","0.0625","241139","241139","8148845"
"G","1","Spore Frog","common","Creature","0.69","0.34","0.55","0.24","0.03","0.8045977011494254","111618","111618","3772297"
"U","3","Unwind","common","Instant","2.29","1.5","2.19","1.26","0.03","0.5015015015015015","119091","119091","4028755"
"R","2","Cathartic Reunion","common","Sorcery","0.35","0.2","0.21","0.09","0.01","0.08474576271186443","120157","120157","4068867"
"B","4","Twilight Prophet","mythic","Creature","1.99","0.63","1.82","1.16","0.82","0.2894736842105261","122352","122352","4146014"
"W","1","Skrelv, Defector Mite","rare","Creature","4.99","2.55","4.39","2.83","0.02","0.479108635097493","112048","112048","3798857"
"W","2","Airbender Ascension","rare","Enchantment","1.99","1.49","1.46","1.21","0.02","0","35285","35285","1197589"
"R","6","Moraug, Fury of Akoum","mythic","Creature","3.99","2.82","3.65","2.28","0.02","0.7816091954022989","119882","119882","4068867"
"G","2","Great Divide Guide","rare","Creature","1.99","1.58","1.46","1.17","0.02","0","33677","33677","1146287"
"B,R","5","The Lord of Pain","mythic","Creature","8.99","7.19","9.51","8.29","undefined","0.9731182795698923","47879","47879","1631738"
"W","4","Keeper of the Accord","rare","Creature","0.99","0.39","1.09","0.31","1.17","0.23913043478260884","111441","111441","3798857"
"W","1","Ocelot Pride","mythic","Creature","54.99","40.24","43.92","35.47","11.16","1.1142857142857152","105142","105142","3589683"
"R,G","3","Domri, Anarch of Bolas","rare","Planeswalker","0.49","0.37","0.55","0.39","0.02","0.16574585635359124","52378","52378","1788871"
"G","6","Kogla, the Titan Ape","rare","Creature","5.49","2.59","5.85","3.17","0.02","0.38375350140056025","110444","110444","3772297"
"W","2","Stoneforge Mystic","rare","Creature","32.99","31.4","25.62","13.73","0.3","0.7777777777777775","111197","111197","3798857"
"W,U,B,R,G","4","Jodah, Archmage Eternal","rare","Creature","0.69","1.19","0.72","0.24","0.02","1.0105820105820102","15803","15803","539948"
"W,U,B,R,G","2","Everything Pizza","uncommon","Artifact","undefined","0.25","0.21","0.06","0.01","0","1113","1113","38047"
"R,W,B","4","Fervent Charge","rare","Enchantment","0.79","0.4","0.55","0.28","0.02","0.25423728813559326","27104","27104","927141"
"","4","Mystic Forge","rare","Artifact","2.49","1.28","2.56","1.01","0.03","0.49379932356257045","238063","238063","8148845"
"W,U,B","3","Zur, Eternal Schemer","mythic","Creature","4.49","3","4.39","4.25","0.02","0.6071428571428571","29323","29323","1005205"
"R","4","Enduring Courage","rare","Creature","3.99","2.4","3.65","1.75","0.02","0.25088339222614847","101838","101838","3494985"
"R","3","Magus of the Wheel","rare","Creature","1.49","1","1.82","0.57","1.22","0.5214899713467046","118458","118458","4068867"
"B","3","Yahenni, Undying Partisan","rare","Creature","0.59","0.33","0.72","0.35","0.02","0.23795180722891557","120659","120659","4146014"
"B,R","3","Kellogg, Dangerous Mind","rare","Creature","6.49","3.22","5.85","3.11","1.94","0.5377358490566032","55340","55340","1902006"
"G","4","Explosive Vegetation","uncommon","Sorcery","0.59","0.25","0.55","0.22","0.03","0.19364161849710998","109731","109731","3772297"
"R","7","Drakuseth, Maw of Flames","rare","Creature","0.79","0.75","0.72","0.41","0.02","0.344632768361582","118330","118330","4068867"
"U","1","Training Grounds","rare","Enchantment","7.49","5","7.31","3.46","0.02","0.46089385474860334","116957","116957","4028755"
"R,W","3","Lightning, Army of One","mythic","Creature","10.99","8.77","11.71","8.31","0.09","0.7857142857142857","32374","32374","1116094"
"W,U","2","Gold-Forged Thopteryx","uncommon","Creature","0.79","0.25","0.72","0.25","0.03","0.23404255319148937","53940","53940","1860951"
"W","4","Archon of Sun's Grace","rare","Creature","1.99","0.68","1.82","0.45","0.02","0.24169184290030216","110069","110069","3798857"
"U","5","Raise the Palisade","rare","Sorcery","22.99","18.68","21.22","16.78","4.28","0.8319559228650141","116574","116574","4028755"
"W","2","Suture Priest","common","Creature","3.49","1.76","2.56","2.2","0.03","0.36253776435045315","109731","109731","3798857"
"W,U","2","Dance of the Manse","rare","Sorcery","1.29","0.9","1.46","0.39","0.02","0.145945945945946","53691","53691","1860951"
"W","3","Recruiter of the Guard","mythic","Creature","8.99","6.34","9.51","7.26","0.21","0.48179271708683474","109552","109552","3798857"
"G,W","4","Emiel the Blessed","mythic","Creature","16.99","15.24","16.83","5.44","1.49","0.6179245283018869","50039","50039","1735178"
"R,G,W","5","Rith, Liberated Primeval","mythic","Creature","3.49","1.19","3.65","1.38","0.02","0.5285714285714286","27718","27718","962220"
"G","5","Primal Vigor","rare","Enchantment","11.99","10.6","11.71","4.66","0.03","0.4876712328767125","108588","108588","3772297"
"G,W,U,B","4","Atraxa, Praetors' Voice","mythic","Creature","29.99","27.02","29.28","15.36","0.03","1.722789115646258","17569","17569","610473"
"R,G","4","Toph, Greatest Earthbender","rare","Creature","29.99","22.07","27.08","17.98","4.71","0","16638","16638","578150"
"R","3","Fiery Inscription","uncommon","Enchantment","0.79","0.56","0.72","0.23","0.03","0.3586956521739132","116962","116962","4068867"
"R,G","2","Manamorphose","uncommon","Instant","5.49","4.89","5.12","3.12","1.17","0.23364485981308408","51412","51412","1788871"
"U","4","Herald of Secret Streams","rare","Creature","6.49","4.49","5.85","4.43","0.02","0.5660919540229882","115678","115678","4028755"
"W,U,B,R,G","5","The First Sliver","mythic","Creature","32.99","29","32.94","19.44","0.02","1.66078431372549","15490","15490","539948"
"B","3","Grim Haruspex","rare","Creature","3.49","1.9","2.92","1.26","0.02","0.20809248554913296","118739","118739","4146014"
"U,B","3","Ringsight","uncommon","Sorcery","0.59","0.36","0.72","0.23","0.03","0.3838383838383838","58160","58160","2034408"
"G","4","Saryth, the Viper's Fang","rare","Creature","2.29","0.79","2.56","1.35","0.02","0.3939393939393939","107673","107673","3772297"
"G,W","3","Mirri, Weatherlight Duelist","rare","Creature","5.99","4.18","6.58","2.65","0.57","0.5124378109452735","49446","49446","1735178"
"R","1","Great Train Heist","rare","Instant","7.49","4.19","6.58","1.91","0.02","0.25531914893617014","114148","114148","4009955"
"B","1","Not Dead After All","common","Instant","2.99","1.97","2.92","1.07","0.03","0.19825072886297368","117988","117988","4146014"
"R","6","Lathliss, Dragon Queen","rare","Creature","0.79","0.49","0.72","0.43","0.02","0.37869822485207083","115731","115731","4068867"
"U","2","Ripples of Potential","rare","Instant","2.29","1.78","2.56","3.05","1.88","0.3806970509383378","114581","114581","4028755"
"G","2","Invasion of Ikoria","rare","Battle","10.99","10.81","11.71","6.03","0.02","0.550955414012739","107286","107286","3772297"
"R,W,B","4","Neriv, Heart of the Storm","mythic","Creature","2.99","2.31","2.56","1.71","0.09","0.2169811320754717","17906","17906","630473"
"","1","Expedition Map","common","Artifact","2.29","0.95","2.19","1.21","0.03","0.16536312849161997","230985","230985","8148845"
"G,U","2","Simic Charm","uncommon","Instant","2.29","0.98","1.82","1.48","0.03","0.2228260869565218","51671","51671","1824186"
"G","4","Hedge Shredder","rare","Artifact","3.49","2.57","3.65","1.53","0.02","0.3803278688524591","91954","91954","3247609"
"G","4","Ouroboroid","mythic","Creature","44.99","42.5","32.94","28.23","3.36","0.6271186440677965","51869","51869","1832562"
"R,G,W","3","Jinnie Fay, Jetmir's Second","rare","Creature","1.29","0.62","11.71","0.02","0.02","0.22222222222222232","27229","27229","962220"
"U","1","Three Steps Ahead","rare","Instant","10.99","7.02","10.24","6.65","0.39","0.33795013850415506","112334","112334","3970846"
"B,G","5","Underrealm Lich","mythic","Creature","6.99","6.11","7.31","4.23","0.02","0.36813186813186805","48916","48916","1730512"
"U","1","Siren Stormtamer","uncommon","Creature","0.59","0.37","0.55","0.44","0.03","0.24566473988439305","113621","113621","4028755"
"G","2","Sylvan Scrying","uncommon","Sorcery","0.35","0.35","0.36","0.22","0.03","0.2283464566929134","106375","106375","3772297"
"B","5","Revel in Riches","rare","Enchantment","22.99","17.05","18.3","9.53","0.02","1.0555555555555554","116751","116751","4146014"
"B","8","Bloodline Bidding","rare","Sorcery","2.49","2","2.19","0.88","0.05","0","21932","21932","778861"
"B,R","6","Rakdos, Patron of Chaos","mythic","Creature","6.99","4.47","6.58","3.41","0.02","0.48148148148148145","53524","53524","1902006"
"B","1","Insatiable Avarice","rare","Sorcery","11.99","10.24","14.63","4.69","0.19","0.4472934472934472","114582","114582","4080062"
"R","3","Captain Lannery Storm","rare","Creature","0.49","0.29","0.36","0.16","0.02","0.15909090909090895","114230","114230","4068867"
"R","2","Firebender Ascension","rare","Enchantment","1.29","1.08","1.46","1.06","0.02","0","35140","35140","1254310"
"B","8","Vilis, Broker of Blood","rare","Creature","12.99","9.09","13.9","7.05","0.02","0.8126888217522656","116146","116146","4146014"
"W","5","Cleansing Nova","rare","Sorcery","0.59","0.35","0.55","0.31","0.02","0.5258620689655168","106340","106340","3798857"
"R,G","2","Worldsoul's Rage","rare","Sorcery","0.49","0.25","0.55","0.19","0.02","0.2589285714285715","50012","50012","1788871"
"W","2","Starfield Mystic","rare","Creature","0.99","0.4","0.72","0.43","0.02","0.1938202247191011","106204","106204","3798857"
"","5","Psychosis Crawler","rare","Creature","0.79","0.59","0.72","0.32","0.02","0.5889830508474576","227748","227748","8148845"
"B,G","3","Camellia, the Seedmiser","rare","Creature","2.79","1.2","2.56","0.5","0.02","0.3703703703703704","44052","44052","1577028"
"R","2","Firebrand Archer","common","Creature","0.35","0.23","0.36","0.12","0.03","0.22792022792022792","113584","113584","4068867"
"W,U","2","Kwain, Itinerant Meddler","rare","Creature","0.49","0.27","0.36","0.13","1.09","0.248780487804878","51916","51916","1860951"
"R","5","Karlach, Fury of Avernus","mythic","Creature","24.99","16.62","24.88","15.19","6.26","0.608955223880597","113128","113128","4068867"
"G","6","Vorinclex, Monstrous Raider","mythic","Creature","44.99","30.24","58.56","30","0.23","1.7843137254901962","104848","104848","3772297"
"W,B","4","Debt to the Deathless","uncommon","Sorcery","0.59","0.39","0.55","0.31","0.03","0.46733668341708545","51527","51527","1853973"
"W","4","Exemplar of Light","rare","Creature","5.99","3.45","6.58","3.44","0.02","0.30739299610894943","86159","86159","3100519"
"U,B","4","Emet-Selch of the Third Seat","rare","Creature","0.49","0.48","0.55","0.72","1.4","0.29999999999999993","32947","32947","1186192"
"R,G,W,U","4","Omnath, Locus of Creation","mythic","Creature","4.99","3.68","4.39","2.17","0.82","1.0219298245614037","16583","16583","597132"
"R","3","Wheel of Misfortune","rare","Sorcery","11.99","7.5","11.71","6.24","7.56","0.6897274633123692","112993","112993","4068867"
"U","1","Slip Out the Back","uncommon","Instant","5.49","2.97","5.12","2.44","0.03","0.25120772946859893","111866","111866","4028755"
"B","4","Syphon Mind","common","Sorcery","0.59","0.36","0.72","0.28","0.04","0.5078947368421053","114703","114703","4146014"
"R","2","Desperate Ritual","uncommon","Instant","4.99","4.38","3.65","1.08","0.03","0.35483870967741926","112377","112377","4068867"
"W,U","2","Momentary Blink","common","Instant","0.35","0.2","0.36","0.07","0.02","0.18719211822660098","51394","51394","1860951"
"G","3","Lifecrafter's Bestiary","rare","Artifact","0.79","0.39","0.72","0.37","0.02","0.16857142857142862","104074","104074","3772297"
"G","8","Ezuri's Predation","rare","Sorcery","0.79","0.8","1.09","0.78","1.72","0.3942857142857143","104042","104042","3772297"
"G","3","Colossal Majesty","uncommon","Enchantment","2.49","1.06","2.56","0.99","0.03","0.14825581395348833","103993","103993","3772297"
"W","3","Skyclave Apparition","rare","Creature","0.59","0.34","0.55","0.42","1.68","0.3878116343490302","104653","104653","3798857"
"G,W","4","Yenna, Redtooth Regent","rare","Creature","2.99","2.72","3.65","1.25","0.02","0.23863636363636365","47777","47777","1735178"
"W","3","Rosie Cotton of South Lane","uncommon","Creature","0.35","0.28","0.36","0.15","0.03","0.33062330623306235","104599","104599","3798857"
"G","4","Timeless Witness","uncommon","Creature","0.49","0.3","0.36","0.19","0.03","0.13353115727002968","103861","103861","3772297"
"U,B","2","Psychic Frog","rare","Creature","8.49","5.75","8.05","7.09","2.3","0.8035714285714286","55944","55944","2032035"
"R,W,B","3","Zurgo, Thunder's Decree","rare","Creature","0.49","0.38","0.36","0.32","0.02","0.17346938775510207","17262","17262","627475"
"U","6","Cyberdrive Awakener","rare","Creature","3.49","2.19","3.65","2.63","4.62","0.47521865889212844","110679","110679","4028755"
"W,U","3","Vega, the Watcher","uncommon","Creature","0.59","0.26","0.55","0.18","0.03","0.15254237288135597","51097","51097","1860951"
"B,G","1","Ravenous Squirrel","uncommon","Creature","0.35","0.25","0.36","0.13","0.03","0.20430107526881722","47507","47507","1730512"
"G,W","4","Sovereign Okinec Ahau","mythic","Creature","5.99","3.5","5.85","2.06","0.02","0.4146341463414634","47632","47632","1735178"
